Date,WTI,RBOB,HO
2019-01-02,46.540000915527344,55.675201177597046,71.42520117759705
2019-01-03,47.09000015258789,56.67899751663208,73.16399931907654
2019-01-04,47.959999084472656,56.607600688934326,74.30639863014221
2019-01-07,48.52000045776367,56.31360197067261,74.69279766082764
2019-01-08,49.779998779296875,57.229198694229126,76.73400092124939
2019-01-09,52.36000061035156,59.8668007850647,78.99360036849976
2019-01-10,52.59000015258789,60.0893976688385,80.0562014579773
2019-01-11,51.59000015258789,58.82939887046814,78.94739770889282
2019-01-14,50.5099983215332,57.27960205078125,77.80499839782715
2019-01-15,52.11000061035156,59.2787983417511,78.63240051269531
2019-01-16,52.310001373291016,59.4677996635437,79.57320141792297
2019-01-17,52.06999969482422,60.05999779701233,79.14059972763062
2019-01-18,53.79999923706055,61.01760149002075,80.47200036048889
2019-01-22,52.56999969482422,58.8629994392395,79.8462016582489
2019-01-23,52.619998931884766,58.19939947128296,79.32119965553284
2019-01-24,53.130001068115234,58.279197692871094,79.19519877433777
2019-01-25,53.689998626708984,58.3548002243042,79.45979762077332
2019-01-28,51.9900016784668,55.990198373794556,77.18340039253235
2019-01-29,53.310001373291016,56.737802267074585,79.69500160217285
2019-01-30,54.22999954223633,58.05660080909729,79.73279786109924
2019-01-31,53.790000915527344,57.233399391174316,78.90960144996643
2019-02-01,55.2599983215332,60.34980082511902,80.33340239524841
2019-02-04,54.560001373291016,60.156598806381226,80.11080050468445
2019-02-05,53.65999984741211,59.88779926300049,79.69500160217285
2019-02-06,54.0099983215332,61.2822003364563,80.31239891052246
2019-02-07,52.63999938964844,59.8835985660553,79.82100248336792
2019-02-08,52.720001220703125,60.748801946640015,80.15699815750122
2019-02-11,52.40999984741211,59.60639762878418,79.47239971160889
2019-02-12,53.099998474121094,59.94239830970764,80.10239911079407
2019-02-13,53.900001525878906,61.534202098846436,81.42959904670715
2019-02-14,54.40999984741211,63.35699915885925,82.80720233917236
2019-02-15,55.59000015258789,66.06180238723755,84.85259628295898
2019-02-19,56.09000015258789,65.67959904670715,83.773202419281
2019-02-20,56.91999816894531,67.12019777297974,84.76860237121582
2019-02-21,56.959999084472656,67.80480122566223,85.52459764480591
2019-02-22,57.2599983215332,67.67039895057678,85.3062014579773
2019-02-25,55.47999954223633,64.89839959144592,82.93319821357727
2019-02-26,55.5,66.62460064888,83.93699955940247
2019-02-27,56.939998626708984,68.62799763679504,84.9072003364563
2019-02-28,57.220001220703125,68.43059992790222,84.98699855804443
2019-03-01,55.79999923706055,72.67259788513184,84.04199695587158
2019-03-04,56.59000015258789,73.45799803733826,84.60060453414917
2019-03-05,56.560001373291016,74.23080110549927,84.68880414962769
2019-03-06,56.220001220703125,75.13800144195557,84.6804027557373
2019-03-07,56.65999984741211,75.82680058479309,84.53340339660645
2019-03-08,56.06999969482422,75.67139983177185,83.99159860610962
2019-03-11,56.790000915527344,76.69199895858765,83.75639963150024
2019-03-12,56.869998931884766,76.25100088119507,83.39940047264099
2019-03-13,58.2599983215332,77.98559832572937,83.66820001602173
2019-03-14,58.61000061035156,77.67899751663208,83.36579990386963
2019-03-15,58.52000045776367,78.02339959144592,82.64340019226074
2019-03-18,59.09000015258789,79.07759928703308,82.6979992389679
2019-03-19,59.029998779296875,79.51020097732544,83.59679818153381
2019-03-20,59.83000183105469,80.49719953536987,84.34020137786865
2019-03-21,59.97999954223633,80.65260028839111,83.45820021629333
2019-03-22,59.040000915527344,80.88779926300049,82.56779766082764
2019-03-25,58.81999969482422,81.3917977809906,83.17679858207703
2019-03-26,59.939998626708984,82.13940167427063,83.57579970359802
2019-03-27,59.40999984741211,79.61099767684937,83.18519997596741
2019-03-28,59.29999923706055,78.9557991027832,82.82400012016296
2019-03-29,60.13999938964844,79.61519837379456,82.88279986381531
2019-04-01,61.59000015258789,79.7538013458252,83.50020217895508
2019-04-02,62.58000183105469,80.99700236320496,84.37379693984985
2019-04-03,62.459999084472656,81.95040035247803,84.28559732437134
2019-04-04,62.099998474121094,81.47580170631409,84.56280326843262
2019-04-05,63.08000183105469,82.68540215492249,85.78079509735107
2019-04-08,64.4000015258789,83.49600148200989,86.398202419281
2019-04-09,63.97999954223633,83.95799803733826,85.88579750061035
2019-04-10,64.61000061035156,86.90640163421631,87.67919969558716
2019-04-11,63.58000183105469,85.29780006408691,86.82239770889282
2019-04-12,63.88999938964844,85.55399751663208,86.96939706802368
2019-04-15,63.400001525878906,84.49560213088989,86.56200456619263
2019-04-16,64.05000305175781,85.33139562606812,87.45240211486816
2019-04-17,63.7599983215332,85.75560092926025,86.90640163421631
2019-04-18,64.0,87.03240251541138,86.97779846191406
2019-04-22,65.69999694824219,89.45160341262817,88.36800384521484
2019-04-23,66.30000305175781,89.52719593048096,88.95600128173828
2019-04-24,65.88999938964844,89.39699935913086,88.14540195465088
2019-04-25,65.20999908447266,89.54820442199707,88.12019777297974
2019-04-26,63.29999923706055,88.22520017623901,86.1503963470459
2019-04-29,63.5,87.47759628295898,86.30579710006714
2019-04-30,63.90999984741211,89.1743974685669,87.41039514541626
2019-05-01,63.599998474121094,86.69639682769775,87.95639562606812
2019-05-02,61.810001373291016,84.76860237121582,87.26760149002075
2019-05-03,61.939998626708984,85.1129994392395,86.94839859008789
2019-05-06,62.25,83.85720133781433,86.83920049667358
2019-05-07,61.400001525878906,81.84539794921875,85.57920169830322
2019-05-08,62.119998931884766,82.95000100135803,86.36040115356445
2019-05-09,61.70000076293945,82.96679878234863,85.83120346069336
2019-05-10,61.65999984741211,83.54219913482666,86.1168007850647
2019-05-13,61.040000915527344,82.47540235519409,85.61279726028442
2019-05-14,61.779998779296875,83.02139782905579,86.47380495071411
2019-05-15,62.02000045776367,84.53340339660645,87.62459564208984
2019-05-16,62.869998931884766,86.59560012817383,89.1743974685669
2019-05-17,62.7599983215332,85.9866042137146,88.01099967956543
2019-05-20,63.099998474121094,84.41580390930176,87.09120225906372
2019-05-21,62.9900016784668,84.8105993270874,87.33480262756348
2019-05-22,61.41999816894531,83.63039875030518,86.06219673156738
2019-05-23,57.90999984741211,80.3586015701294,82.42079830169678
2019-05-24,58.630001068115234,81.24899911880493,82.79460024833679
2019-05-28,59.13999938964844,82.18139863014221,83.68499779701233
2019-05-29,58.810001373291016,81.69839859008789,82.63499879837036
