Date,HO
2019-01-02,1.700600028038025
2019-01-03,1.7419999837875366
2019-01-04,1.7691999673843384
2019-01-07,1.77839994430542
2019-01-08,1.8270000219345093
2019-01-09,1.8808000087738037
2019-01-10,1.9061000347137451
2019-01-11,1.879699945449829
2019-01-14,1.8524999618530273
2019-01-15,1.8722000122070312
2019-01-16,1.8946000337600708
2019-01-17,1.8842999935150146
2019-01-18,1.9160000085830688
2019-01-22,1.9011000394821167
2019-01-23,1.8885999917984009
2019-01-24,1.885599970817566
2019-01-25,1.8918999433517456
2019-01-28,1.8377000093460083
2019-01-29,1.8975000381469727
2019-01-30,1.8983999490737915
2019-01-31,1.8788000345230103
2019-02-01,1.9127000570297241
2019-02-04,1.9074000120162964
2019-02-05,1.8975000381469727
2019-02-06,1.9121999740600586
2019-02-07,1.9005000591278076
2019-02-08,1.9084999561309814
2019-02-11,1.892199993133545
2019-02-12,1.9071999788284302
2019-02-13,1.9387999773025513
2019-02-14,1.97160005569458
2019-02-15,2.0202999114990234
2019-02-19,1.9946000576019287
2019-02-20,2.0183000564575195
2019-02-21,2.03629994392395
2019-02-22,2.031100034713745
2019-02-25,1.9745999574661255
2019-02-26,1.9984999895095825
2019-02-27,2.0216000080108643
2019-02-28,2.0234999656677246
2019-03-01,2.000999927520752
2019-03-04,2.0143001079559326
2019-03-05,2.016400098800659
2019-03-06,2.016200065612793
2019-03-07,2.012700080871582
2019-03-08,1.9997999668121338
2019-03-11,1.9941999912261963
2019-03-12,1.985700011253357
2019-03-13,1.9921000003814697
2019-03-14,1.9848999977111816
2019-03-15,1.9677000045776367
2019-03-18,1.968999981880188
2019-03-19,1.990399956703186
2019-03-20,2.0081000328063965
2019-03-21,1.9871000051498413
2019-03-22,1.96589994430542
2019-03-25,1.9803999662399292
2019-03-26,1.98989999294281
2019-03-27,1.9805999994277954
2019-03-28,1.972000002861023
2019-03-29,1.9733999967575073
2019-04-01,1.9881000518798828
2019-04-02,2.0088999271392822
2019-04-03,2.0067999362945557
2019-04-04,2.013400077819824
2019-04-05,2.0423998832702637
2019-04-08,2.0571000576019287
2019-04-09,2.0448999404907227
2019-04-10,2.087599992752075
2019-04-11,2.067199945449829
2019-04-12,2.07069993019104
2019-04-15,2.061000108718872
2019-04-16,2.082200050354004
2019-04-17,2.069200038909912
2019-04-18,2.0708999633789062
2019-04-22,2.1040000915527344
2019-04-23,2.118000030517578
2019-04-24,2.0987000465393066
2019-04-25,2.098099946975708
2019-04-26,2.0511999130249023
2019-04-29,2.0548999309539795
2019-04-30,2.081199884414673
2019-05-01,2.0941998958587646
2019-05-02,2.0778000354766846
2019-05-03,2.070199966430664
2019-05-06,2.0676000118255615
2019-05-07,2.037600040435791
2019-05-08,2.0562000274658203
2019-05-09,2.043600082397461
2019-05-10,2.0504000186920166
2019-05-13,2.0383999347686768
2019-05-14,2.0589001178741455
2019-05-15,2.0862998962402344
2019-05-16,2.123199939727783
2019-05-17,2.0954999923706055
2019-05-20,2.0736000537872314
2019-05-21,2.079400062561035
2019-05-22,2.049099922180176
2019-05-23,1.962399959564209
2019-05-24,1.9713000059127808
2019-05-28,1.9924999475479126
2019-05-29,1.9674999713897705
2019-05-30,1.9149999618530273
2019-05-31,1.8417999744415283
2019-06-03,1.80649995803833
2019-06-04,1.8214999437332153
2019-06-05,1.7799999713897705
2019-06-06,1.7883000373840332
2019-06-07,1.8248000144958496
2019-06-10,1.8063000440597534
2019-06-11,1.822100043296814
2019-06-12,1.7798999547958374
2019-06-13,1.8065999746322632
2019-06-14,1.8293999433517456
2019-06-17,1.7994999885559082
2019-06-18,1.8278000354766846
2019-06-19,1.8293999433517456
2019-06-20,1.8842999935150146
2019-06-21,1.9157999753952026
2019-06-24,1.9089000225067139
2019-06-25,1.9234000444412231
2019-06-26,1.9713000059127808
2019-06-27,1.9524999856948853
2019-06-28,1.944599986076355
2019-07-01,1.9537999629974365
2019-07-02,1.886299967765808
2019-07-03,1.8986999988555908
2019-07-05,1.9049999713897705
2019-07-08,1.895300030708313
2019-07-09,1.910599946975708
2019-07-10,1.9910000562667847
2019-07-11,1.978600025177002
2019-07-12,1.9801000356674194
2019-07-15,1.9515999555587769
2019-07-16,1.9048999547958374
2019-07-17,1.8926000595092773
2019-07-18,1.8624999523162842
2019-07-19,1.8896000385284424
2019-07-22,1.8995000123977661
2019-07-23,1.9217000007629395
2019-07-24,1.9086999893188477
2019-07-25,1.9142999649047852
2019-07-26,1.9043999910354614
2019-07-29,1.910599946975708
2019-07-30,1.944000005722046
2019-07-31,1.9550000429153442
2019-08-01,1.8529000282287598
2019-08-02,1.8902000188827515
2019-08-05,1.8356000185012817
2019-08-06,1.8240000009536743
2019-08-07,1.7532000541687012
2019-08-08,1.7766000032424927
2019-08-09,1.8079999685287476
2019-08-12,1.805799961090088
2019-08-13,1.8773000240325928
2019-08-14,1.8437000513076782
2019-08-15,1.8107000589370728
2019-08-16,1.8128000497817993
2019-08-19,1.8330999612808228
2019-08-20,1.8543000221252441
2019-08-21,1.857300043106079
2019-08-22,1.8413000106811523
2019-08-23,1.815600037574768
2019-08-26,1.7924000024795532
2019-08-27,1.8158999681472778
2019-08-28,1.8509999513626099
2019-08-29,1.8639999628067017
2019-08-30,1.8281999826431274
2019-09-03,1.8033000230789185
2019-09-04,1.8802000284194946
2019-09-05,1.8884999752044678
2019-09-06,1.9003000259399414
2019-09-09,1.9277000427246094
2019-09-10,1.9312000274658203
2019-09-11,1.9032000303268433
2019-09-12,1.88510000705719
2019-09-13,1.8777999877929688
2019-09-16,2.0838000774383545
2019-09-17,1.9895999431610107
2019-09-18,1.9732999801635742
2019-09-19,2.0048999786376953
2019-09-20,1.986299991607666
2019-09-23,1.996999979019165
2019-09-24,1.9675999879837036
2019-09-25,1.9538999795913696
2019-09-26,1.9551000595092773
2019-09-27,1.94159996509552
2019-09-30,1.9055999517440796
2019-10-01,1.8984999656677246
2019-10-02,1.8730000257492065
2019-10-03,1.8760000467300415
2019-10-04,1.8945000171661377
2019-10-07,1.9033000469207764
2019-10-08,1.910099983215332
2019-10-09,1.9192999601364136
2019-10-10,1.920799970626831
2019-10-11,1.9575999975204468
2019-10-14,1.9150999784469604
2019-10-15,1.909999966621399
2019-10-16,1.9426000118255615
2019-10-17,1.948099970817566
2019-10-18,1.947100043296814
2019-10-21,1.940600037574768
2019-10-22,1.9436999559402466
2019-10-23,1.9643000364303589
2019-10-24,1.986299991607666
2019-10-25,1.979599952697754
2019-10-28,1.9617999792099
2019-10-29,1.9563000202178955
2019-10-30,1.913599967956543
2019-10-31,1.878000020980835
2019-11-01,1.9330999851226807
2019-11-04,1.940500020980835
2019-11-05,1.9565999507904053
2019-11-06,1.9278000593185425
2019-11-07,1.920300006866455
2019-11-08,1.9180999994277954
2019-11-11,1.914199948310852
2019-11-12,1.8976000547409058
2019-11-13,1.912500023841858
2019-11-14,1.9178999662399292
2019-11-15,1.9479999542236328
2019-11-18,1.9047000408172607
2019-11-19,1.8573999404907227
2019-11-20,1.8920999765396118
2019-11-21,1.944700002670288
2019-11-22,1.9293999671936035
2019-11-25,1.9443000555038452
2019-11-26,1.9606000185012817
2019-11-27,1.9464999437332153
2019-11-29,1.8789000511169434
2019-12-02,1.8860000371932983
2019-12-03,1.8798999786376953
2019-12-04,1.9228999614715576
2019-12-05,1.9329999685287476
2019-12-06,1.9521000385284424
2019-12-09,1.944200038909912
2019-12-10,1.965499997138977
2019-12-11,1.9287999868392944
2019-12-12,1.9507999420166016
2019-12-13,1.9864000082015991
2019-12-16,2.004499912261963
2019-12-17,2.033400058746338
2019-12-18,2.0202999114990234
2019-12-19,2.0295000076293945
2019-12-20,2.0218000411987305
2019-12-23,2.022200107574463
2019-12-24,2.03629994392395
2019-12-26,2.0520999431610107
2019-12-27,2.0495998859405518
2019-12-30,2.040600061416626
2019-12-31,2.0283000469207764
2020-01-02,2.0241000652313232
2020-01-03,2.0613999366760254
2020-01-06,2.033900022506714
2020-01-07,2.032399892807007
2020-01-08,1.9581999778747559
2020-01-09,1.9500999450683594
2020-01-10,1.9284000396728516
2020-01-13,1.8980000019073486
2020-01-14,1.9103000164031982
2020-01-15,1.8779000043869019
2020-01-16,1.8600000143051147
2020-01-17,1.8592000007629395
2020-01-21,1.829200029373169
2020-01-22,1.8001999855041504
2020-01-23,1.791599988937378
2020-01-24,1.7339999675750732
2020-01-27,1.6794999837875366
2020-01-28,1.71589994430542
2020-01-29,1.7035000324249268
2020-01-30,1.6396000385284424
2020-01-31,1.624500036239624
2020-02-03,1.5779000520706177
2020-02-04,1.583899974822998
2020-02-05,1.645400047302246
2020-02-06,1.6654000282287598
2020-02-07,1.6433000564575195
2020-02-10,1.6124999523162842
2020-02-11,1.6267000436782837
2020-02-12,1.6756999492645264
2020-02-13,1.6805000305175781
2020-02-14,1.698199987411499
2020-02-18,1.6723999977111816
2020-02-19,1.7067999839782715
2020-02-20,1.69760000705719
2020-02-21,1.6865999698638916
2020-02-24,1.6131999492645264
2020-02-25,1.56850004196167
