Date,RBOB
2019-01-02,1.325600028038025
2019-01-03,1.3494999408721924
2019-01-04,1.3478000164031982
2019-01-07,1.3408000469207764
2019-01-08,1.3625999689102173
2019-01-09,1.4254000186920166
2019-01-10,1.4306999444961548
2019-01-11,1.4006999731063843
2019-01-14,1.363800048828125
2019-01-15,1.4113999605178833
2019-01-16,1.4158999919891357
2019-01-17,1.4299999475479126
2019-01-18,1.4528000354766846
2019-01-22,1.4014999866485596
2019-01-23,1.385699987411499
2019-01-24,1.3875999450683594
2019-01-25,1.3894000053405762
2019-01-28,1.3330999612808228
2019-01-29,1.3509000539779663
2019-01-30,1.3823000192642212
2019-01-31,1.3626999855041504
2019-02-01,1.436900019645691
2019-02-04,1.4322999715805054
2019-02-05,1.4258999824523926
2019-02-06,1.4591000080108643
2019-02-07,1.4257999658584595
2019-02-08,1.4464000463485718
2019-02-11,1.4191999435424805
2019-02-12,1.4271999597549438
2019-02-13,1.4651000499725342
2019-02-14,1.5084999799728394
2019-02-15,1.5729000568389893
2019-02-19,1.5637999773025513
2019-02-20,1.598099946975708
2019-02-21,1.614400029182434
2019-02-22,1.611199975013733
2019-02-25,1.545199990272522
2019-02-26,1.586300015449524
2019-02-27,1.6339999437332153
2019-02-28,1.6292999982833862
2019-03-01,1.730299949645996
2019-03-04,1.7489999532699585
2019-03-05,1.7674000263214111
2019-03-06,1.7890000343322754
2019-03-07,1.805400013923645
2019-03-08,1.8016999959945679
2019-03-11,1.8259999752044678
2019-03-12,1.815500020980835
2019-03-13,1.8567999601364136
2019-03-14,1.8494999408721924
2019-03-15,1.857699990272522
2019-03-18,1.8827999830245972
2019-03-19,1.8931000232696533
2019-03-20,1.916599988937378
2019-03-21,1.920300006866455
2019-03-22,1.9258999824523926
2019-03-25,1.9378999471664429
2019-03-26,1.9557000398635864
2019-03-27,1.8954999446868896
2019-03-28,1.8798999786376953
2019-03-29,1.8955999612808228
2019-04-01,1.898900032043457
2019-04-02,1.9285000562667847
2019-04-03,1.951200008392334
2019-04-04,1.9399000406265259
2019-04-05,1.9687000513076782
2019-04-08,1.9880000352859497
2019-04-09,1.9989999532699585
2019-04-10,2.069200038909912
2019-04-11,2.030900001525879
2019-04-12,2.0369999408721924
2019-04-15,2.0118000507354736
2019-04-16,2.0316998958587646
2019-04-17,2.041800022125244
2019-04-18,2.072200059890747
2019-04-22,2.1298000812530518
2019-04-23,2.1315999031066895
2019-04-24,2.128499984741211
2019-04-25,2.1321001052856445
2019-04-26,2.100600004196167
2019-04-29,2.0827999114990234
2019-04-30,2.123199939727783
2019-05-01,2.064199924468994
2019-05-02,2.0183000564575195
2019-05-03,2.0264999866485596
2019-05-06,1.9966000318527222
2019-05-07,1.948699951171875
2019-05-08,1.975000023841858
2019-05-09,1.9753999710083008
2019-05-10,1.9890999794006348
2019-05-13,1.9637000560760498
2019-05-14,1.976699948310852
2019-05-15,2.012700080871582
2019-05-16,2.061800003051758
2019-05-17,2.047300100326538
2019-05-20,2.0099000930786133
2019-05-21,2.0192999839782715
2019-05-22,1.9911999702453613
2019-05-23,1.9133000373840332
2019-05-24,1.934499979019165
2019-05-28,1.9566999673843384
2019-05-29,1.945199966430664
2019-05-30,1.878600001335144
2019-05-31,1.8020000457763672
2019-06-03,1.7412999868392944
2019-06-04,1.7242000102996826
2019-06-05,1.6928000450134277
2019-06-06,1.7075999975204468
2019-06-07,1.7388999462127686
2019-06-10,1.730299949645996
2019-06-11,1.7562999725341797
2019-06-12,1.6861000061035156
2019-06-13,1.7199000120162964
2019-06-14,1.7324999570846558
2019-06-17,1.6907999515533447
2019-06-18,1.7214000225067139
2019-06-19,1.7354999780654907
2019-06-20,1.7862999439239502
2019-06-21,1.8560999631881714
2019-06-24,1.8549000024795532
2019-06-25,1.8772000074386597
2019-06-26,1.9703999757766724
2019-06-27,1.9465999603271484
2019-06-28,1.9424999952316284
2019-07-01,1.9305000305175781
2019-07-02,1.870300054550171
2019-07-03,1.916700005531311
2019-07-05,1.9294999837875366
2019-07-08,1.9012999534606934
2019-07-09,1.926900029182434
2019-07-10,2.005199909210205
2019-07-11,1.9895000457763672
2019-07-12,1.9769999980926514
2019-07-15,1.930299997329712
2019-07-16,1.891800045967102
2019-07-17,1.8787000179290771
2019-07-18,1.8342000246047974
2019-07-19,1.840499997138977
2019-07-22,1.8279000520706177
2019-07-23,1.8604999780654907
2019-07-24,1.8551000356674194
2019-07-25,1.8803000450134277
2019-07-26,1.874400019645691
2019-07-29,1.8633999824523926
2019-07-30,1.8969000577926636
2019-07-31,1.9019999504089355
2019-08-01,1.749899983406067
2019-08-02,1.781499981880188
2019-08-05,1.718000054359436
2019-08-06,1.6872999668121338
2019-08-07,1.620300054550171
2019-08-08,1.6456999778747559
2019-08-09,1.6740000247955322
2019-08-12,1.6651999950408936
2019-08-13,1.7364000082015991
2019-08-14,1.6757999658584595
2019-08-15,1.6363999843597412
2019-08-16,1.6568000316619873
2019-08-19,1.6643999814987183
2019-08-20,1.6811000108718872
2019-08-21,1.6937999725341797
2019-08-22,1.6675000190734863
2019-08-23,1.642799973487854
2019-08-26,1.6165000200271606
2019-08-27,1.649899959564209
2019-08-28,1.6823999881744385
2019-08-29,1.6847000122070312
2019-08-30,1.6133999824523926
2019-09-03,1.4704999923706055
2019-09-04,1.5328999757766724
2019-09-05,1.5460000038146973
2019-09-06,1.5742000341415405
2019-09-09,1.5845999717712402
2019-09-10,1.5908000469207764
2019-09-11,1.5699000358581543
2019-09-12,1.5529999732971191
2019-09-13,1.5530999898910522
2019-09-16,1.7524000406265259
2019-09-17,1.6750999689102173
2019-09-18,1.6576999425888062
2019-09-19,1.700700044631958
2019-09-20,1.6784000396728516
2019-09-23,1.6837999820709229
2019-09-24,1.6542999744415283
2019-09-25,1.6252000331878662
2019-09-26,1.6612000465393066
2019-09-27,1.6513999700546265
2019-09-30,1.6049000024795532
2019-10-01,1.573699951171875
2019-10-02,1.5455000400543213
2019-10-03,1.555899977684021
2019-10-04,1.5734000205993652
2019-10-07,1.5693999528884888
2019-10-08,1.580899953842163
2019-10-09,1.5871000289916992
2019-10-10,1.6232999563217163
2019-10-11,1.638800024986267
2019-10-14,1.6131999492645264
2019-10-15,1.614400029182434
2019-10-16,1.6247999668121338
2019-10-17,1.622499942779541
2019-10-18,1.6230000257492065
2019-10-21,1.607200026512146
2019-10-22,1.6088999509811401
2019-10-23,1.651900053024292
2019-10-24,1.6632000207901
2019-10-25,1.6729999780654907
2019-10-28,1.6727999448776245
2019-10-29,1.6857000589370728
2019-10-30,1.6644999980926514
2019-10-31,1.6311999559402466
2019-11-01,1.6556999683380127
2019-11-04,1.663699984550476
